-64972.159796
0
0.006722 0.000004 0.032075 0.004853 0.003933 0.000000 0.062137 0.003689 0.001879 0.004228 0.038735 0.000201 0.002416 0.000000 0.006073 0.000001 0.003429 0.009439 0.007131 0.017524 0.000000 0.006600 0.018025 0.000000 0.004037 0.000210 0.046854 0.000047 0.016092 0.000000 0.055523 0.008712 0.000713 0.003102 0.117401 0.005564 0.000000 0.000079 0.013701 0.004539 0.009518 0.014821 0.010876 0.006332 0.003641 0.008576 0.007548 0.000000 0.005241 0.008369 0.014583 0.010294 0.000000 0.005361 0.030302 0.001276 0.002359 0.005192 0.029225 0.000269 0.003832 0.001166 0.005729 0.002780 0.000032 0.000052 0.004260 0.010008 0.006789 0.000000 0.028471 0.004774 0.011392 0.005119 0.009099 0.004508 0.009838 0.003759 0.052512 0.015205 0.000085 0.000502 0.041450 0.001166 0.015150 0.000001 0.016422 0.000000 0.010415 0.001827 0.017847 0.006077 0.000000 0.002283 0.019624 0.008379 
0.000000 0.000000 0.000000 0.012247 0.000039 0.000000 0.000000 0.021195 0.000000 0.000000 0.028841 0.000000 0.037336 0.000000 0.000000 0.000000 0.079734 0.000000 0.080816 0.006100 0.000000 0.000000 0.000000 0.000000 0.087898 0.002047 0.000000 0.000000 0.000390 0.000025 0.000000 0.000026 0.147830 0.002628 0.060436 0.038363 0.000000 0.000934 0.037289 0.000166 0.000000 0.021795 0.039193 0.001229 0.000000 0.000000 0.000315 0.000000 0.000000 0.000000 0.000046 0.000000 0.000000 0.000000 0.000000 0.041140 0.002205 0.012822 0.007297 0.021264 0.000000 0.000000 0.000000 0.000019 0.010061 0.000000 0.000000 0.025489 0.000000 0.000000 0.000000 0.000050 0.000277 0.000224 0.000077 0.039572 0.000953 0.000036 0.000002 0.001982 0.005105 0.011122 0.092067 0.003085 0.000000 0.000093 0.000000 0.000000 0.010431 0.000000 0.000000 0.007708 0.000000 0.000002 0.000000 0.000000 
0.000061 0.000005 0.000000 0.012760 0.000001 0.000000 0.000000 0.005144 0.003484 0.033204 0.037965 0.015386 0.001482 0.000000 0.008654 0.001312 0.004884 0.001423 0.007971 0.005126 0.000000 0.009420 0.000000 0.000000 0.022801 0.000054 0.003722 0.003572 0.010839 0.009950 0.000000 0.006417 0.053994 0.104007 0.048595 0.066618 0.000000 0.000011 0.012656 0.000146 0.000009 0.007300 0.001887 0.002508 0.000000 0.001798 0.013983 0.000000 0.032252 0.003924 0.000001 0.001367 0.000000 0.009385 0.007416 0.015819 0.016949 0.027157 0.016973 0.000816 0.000000 0.000000 0.000000 0.000001 0.000045 0.001756 0.000044 0.001018 0.000000 0.000000 0.000012 0.000003 0.009016 0.014325 0.000013 0.008407 0.000095 0.000005 0.000000 0.002477 0.046212 0.122396 0.055325 0.037444 0.000000 0.009683 0.000000 0.000000 0.001116 0.013828 0.004865 0.010438 0.000000 0.005208 0.000000 0.005057 
0.016812 0.005426 0.000000 0.000051 0.000002 0.000000 0.000000 0.000005 0.001729 0.035186 0.027744 0.000217 0.000375 0.000000 0.000001 0.000003 0.017254 0.028314 0.006495 0.000305 0.000000 0.000001 0.000000 0.000000 0.016624 0.018639 0.021889 0.000379 0.000104 0.000004 0.000000 0.000006 0.002532 0.020492 0.057341 0.001214 0.000000 0.000004 0.000215 0.025541 0.000026 0.032390 0.008302 0.000469 0.000000 0.000000 0.000023 0.000000 0.011804 0.007777 0.051081 0.006762 0.000001 0.009531 0.000000 0.013733 0.012056 0.012676 0.159817 0.001163 0.000000 0.000137 0.000000 0.000000 0.098812 0.000128 0.063045 0.020198 0.000000 0.000000 0.000005 0.000021 0.002137 0.000085 0.000036 0.037405 0.002743 0.000014 0.000000 0.001706 0.002534 0.008767 0.072186 0.021473 0.000000 0.000002 0.000000 0.000000 0.000560 0.030273 0.000013 0.005197 0.000000 0.000001 0.000000 0.000004 
-nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan -nan 
0.000043 0.003232 0.000000 0.007280 0.000001 0.000000 0.000000 0.000015 0.022184 0.014430 0.040201 0.011610 0.002978 0.000000 0.000001 0.000000 0.037870 0.005514 0.048978 0.003325 0.000000 0.006381 0.000000 0.000000 0.006965 0.038188 0.008341 0.055216 0.003856 0.003919 0.000000 0.000001 0.006292 0.007955 0.035857 0.018246 0.000000 0.000024 0.002756 0.000001 0.005491 0.014110 0.018642 0.017121 0.000000 0.000001 0.007262 0.000000 0.005062 0.019548 0.000001 0.013370 0.000000 0.006560 0.000000 0.002020 0.046410 0.090870 0.202931 0.041776 0.000000 0.003069 0.000000 0.000000 0.000043 0.014675 0.013748 0.005073 0.000000 0.000000 0.003333 0.007092 0.005043 0.001345 0.000004 0.014543 0.000098 0.000001 0.000000 0.001030 0.001800 0.006185 0.020963 0.000423 0.000000 0.003771 0.000000 0.000000 0.004561 0.003624 0.000002 0.003843 0.000000 0.000000 0.000000 0.002893 
0.005325 0.003607 0.000000 0.000088 0.000000 0.000000 0.000000 0.000034 0.003826 0.003890 0.021799 0.002503 0.000939 0.000000 0.000002 0.000000 0.003871 0.002223 0.001018 0.003111 0.000000 0.001525 0.004628 0.027108 0.006329 0.000022 0.000276 0.002475 0.003584 0.001340 0.000000 0.007367 0.004989 0.008201 0.030821 0.004482 0.000000 0.011693 0.002983 0.036115 0.004294 0.024691 0.031215 0.125150 0.000000 0.014736 0.018204 0.263337 0.003255 0.002157 0.000000 0.000994 0.000000 0.000013 0.000000 0.005208 0.008263 0.003439 0.021223 0.004640 0.003133 0.000002 0.001808 0.007761 0.007784 0.014343 0.011842 0.007470 0.000000 0.009930 0.010244 0.050694 0.006684 0.000011 0.009869 0.006363 0.001314 0.000001 0.000000 0.005582 0.003820 0.005182 0.011070 0.000390 0.000771 0.005577 0.000000 0.007185 0.002304 0.011194 0.004565 0.005675 0.000000 0.012997 0.002504 0.034940 
0.000044 0.000002 0.000000 0.000019 0.001018 0.000000 0.000000 0.001444 0.012686 0.004024 0.178226 0.003313 0.000015 0.000000 0.000001 0.006206 0.000877 0.003664 0.009341 0.000054 0.000000 0.000000 0.000000 0.000000 0.015139 0.015243 0.001534 0.035833 0.000008 0.000000 0.000000 0.000001 0.004585 0.006508 0.153157 0.004138 0.000000 0.003037 0.000029 0.000002 0.014230 0.007966 0.005739 0.003152 0.000000 0.000001 0.000004 0.000000 0.002396 0.001196 0.008499 0.002704 0.000001 0.004754 0.000000 0.001815 0.026238 0.038602 0.176462 0.020727 0.000000 0.004524 0.000000 0.001379 0.029679 0.015200 0.026646 0.011303 0.000000 0.000000 0.000002 0.000001 0.000825 0.002533 0.003004 0.003043 0.000026 0.000001 0.000000 0.000241 0.001108 0.008050 0.094088 0.000254 0.000000 0.000000 0.000000 0.000000 0.004724 0.005997 0.009310 0.003426 0.000000 0.000000 0.000000 0.000002 
0.000424 0.012640 0.014869 0.016277 0.000005 0.000000 0.000000 0.000016 0.018829 0.007220 0.051567 0.000147 0.018733 0.000000 0.000026 0.000000 0.000227 0.003444 0.046655 0.000341 0.000000 0.000001 0.000000 0.000000 0.001619 0.000059 0.037672 0.000251 0.000026 0.000003 0.000000 0.000005 0.018730 0.007375 0.068758 0.006616 0.062569 0.006151 0.033183 0.000018 0.000027 0.018872 0.004948 0.000221 0.000000 0.000002 0.000022 0.000000 0.000670 0.005650 0.000003 0.002164 0.000002 0.016874 0.000000 0.000451 0.014629 0.010983 0.037621 0.002036 0.000000 0.012631 0.053714 0.000004 0.000040 0.024706 0.000151 0.000277 0.000000 0.000000 0.000013 0.023367 0.006158 0.000272 0.000035 0.002970 0.048403 0.000011 0.000001 0.000782 0.002564 0.006615 0.180571 0.004631 0.023580 0.014628 0.022829 0.000000 0.000076 0.012788 0.000006 0.000110 0.000000 0.000000 0.008433 0.000003 
0.000224 0.070461 0.000000 0.000117 0.000003 0.014266 0.016261 0.000094 0.012034 0.004392 0.040219 0.016024 0.000192 0.000000 0.000006 0.018552 0.006255 0.000946 0.003650 0.000315 0.000000 0.000002 0.005750 0.000000 0.009743 0.042710 0.012831 0.031653 0.000046 0.000002 0.000000 0.000005 0.018217 0.013072 0.087612 0.024933 0.000000 0.000105 0.012490 0.000011 0.000027 0.012112 0.021551 0.030749 0.000000 0.000003 0.000055 0.000000 0.008794 0.029735 0.000004 0.026227 0.000001 0.000205 0.000000 0.000976 0.018741 0.003469 0.028142 0.035636 0.000000 0.000003 0.027203 0.021251 0.000777 0.018464 0.060592 0.009632 0.000000 0.029010 0.000022 0.000014 0.001863 0.000116 0.000043 0.003812 0.000645 0.000007 0.000001 0.003659 0.000858 0.037885 0.020626 0.000764 0.000000 0.020147 0.000000 0.042165 0.011699 0.000218 0.000026 0.000356 0.008508 0.000000 0.000000 0.000013 
0.000708 0.000061 0.000000 0.000594 0.000021 0.000000 0.000000 0.000383 0.004352 0.003710 0.029080 0.001603 0.000846 0.727663 0.000098 0.000013 0.004026 0.002934 0.006270 0.001196 0.000000 0.000012 0.000000 0.000000 0.006863 0.001168 0.004079 0.000000 0.000379 0.000000 0.000000 0.000036 0.003907 0.006479 0.041172 0.006512 0.000000 0.000768 0.001061 0.000044 0.000171 0.009669 0.005325 0.002693 0.000000 0.000024 0.000187 0.000000 0.004876 0.004180 0.000034 0.003006 0.000001 0.000638 0.000000 0.001734 0.007369 0.009214 0.030761 0.001468 0.000000 0.000077 0.000002 0.000019 0.000372 0.000596 0.001911 0.002867 0.000000 0.000000 0.000121 0.000134 0.003415 0.000675 0.000195 0.006121 0.001324 0.000071 0.000007 0.003301 0.000001 0.003084 0.031183 0.002845 0.000000 0.000021 0.000000 0.000000 0.001693 0.001353 0.000028 0.001106 0.000000 0.000002 0.000000 0.000089 
